"""ID""",Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
2163963,2013,MO,Missouri,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.6,,,8.7,10.5,1012,Overall,Overall,DIABETE3,28,28,,,,,,
2167551,2013,MT,Montana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.7,,,7,8.3,979,Overall,Overall,DIABETE3,29,29,,,,,,
2171455,2013,NE,Nebraska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.2,,,8.5,9.8,2009,Overall,Overall,DIABETE3,30,30,,,,,,
2175487,2013,NV,Nevada,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.6,,,8.1,11.1,514,Overall,Overall,DIABETE3,31,31,,,,,,
2178713,2013,NH,New Hampshire,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.2,,,8.3,10,770,Overall,Overall,DIABETE3,32,32,,,,,,
2182777,2013,NJ,New Jersey,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.2,,,8.5,9.9,1460,Overall,Overall,DIABETE3,33,33,,,,,,
2186876,2013,NM,New Mexico,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.7,,,9.9,11.6,1192,Overall,Overall,DIABETE3,34,34,,,,,,
2191244,2013,NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.6,,,9.7,11.4,1035,Overall,Overall,DIABETE3,35,35,,,,,,
2194473,2013,NC,North Carolina,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11.4,,,10.6,12.2,1325,Overall,Overall,DIABETE3,36,36,,,,,,
2197741,2013,ND,North Dakota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.9,,,8.1,9.7,865,Overall,Overall,DIABETE3,37,37,,,,,,
2202220,2013,OH,Ohio,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.4,,,9.6,11.1,1673,Overall,Overall,DIABETE3,38,38,,,,,,
2205667,2013,OK,Oklahoma,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11,,,10.3,11.8,1202,Overall,Overall,DIABETE3,39,39,,,,,,
2210199,2013,OR,Oregon,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.2,,,8.3,10.1,675,Overall,Overall,DIABETE3,40,40,,,,,,
2214273,2013,PA,Pennsylvania,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,10.1,,,9.4,10.8,1435,Overall,Overall,DIABETE3,41,41,,,,,,
2217496,2013,RI,Rhode Island,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.3,,,8.4,10.1,786,Overall,Overall,DIABETE3,42,42,,,,,,
2220807,2013,SC,South Carolina,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,12.5,,,11.7,13.3,1802,Overall,Overall,DIABETE3,43,43,,,,,,
2225319,2013,SD,South Dakota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.1,,,8,10.1,827,Overall,Overall,DIABETE3,44,44,,,,,,
2229118,2013,TN,Tennessee,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,12.2,,,11.1,13.4,934,Overall,Overall,DIABETE3,45,45,,,,,,
2232572,2013,TX,Texas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,11,,,10.1,11.9,1534,Overall,Overall,DIABETE3,46,46,,,,,,
2236861,2013,UT,Utah,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.1,,,6.6,7.6,1203,Overall,Overall,DIABETE3,47,47,,,,,,
2240333,2013,VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,7.8,,,7,8.5,616,Overall,Overall,DIABETE3,48,48,,,,,,
2244231,2013,VA,Virginia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,9.8,,,9.1,10.6,1047,Overall,Overall,DIABETE3,49,49,,,,,,
2248303,2013,WA,Washington,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.6,,,7.9,9.2,1271,Overall,Overall,DIABETE3,50,50,,,,,,
2252394,2013,WV,West Virginia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,13,,,12.1,14,925,Overall,Overall,DIABETE3,51,51,,,,,,
2256294,2013,WI,Wisconsin,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.2,,,7.3,9.2,774,Overall,Overall,DIABETE3,52,52,,,,,,
2259507,2013,WY,Wyoming,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,8.6,,,7.8,9.5,769,Overall,Overall,DIABETE3,53,53,,,,,,
2263200,2013,GU,Guam,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,14.1,,,11.9,16.3,233,Overall,Overall,DIABETE3,56,56,,,,,,
2266705,2013,PR,Puerto Rico,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,BRFSS,%,Crude Prevalence,14.9,,,13.8,15.9,1125,Overall,Overall,DIABETE3,60,60,,,,,,
