,diabetes,sugar,glucose,insulin,diagnosis,blood pressure,fruit,cholesterol,diet,type 1,type 2,symptoms,diabetes mellitus,diagnosis,complications,osteoporosis,hypertension,obesity,fat,association,blood glucose,heart disease,cardiovascular disease,kidney disease,weigth loss,blood glucose level,high blood pressure,high blood sugar,glucose tolerance test,like growth factor,central nervous system,thyroid stimulating hormone,coronary artery disease,end stage renal disease,risk developing diabetes
Idaho,91,19,18,26,1,0,1,1,93,41,80.0,38.0,12.0,3.0,4.0,0,25,13,40,28,,,,,,,,,,,,,,,
Illinois,81,21,20,22,1,2,1,2,64,34,70.0,33.0,12.0,4.0,4.0,1,8,17,24,50,63.0,0.0,0.0,2.0,0.0,18.0,3.0,56.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0
Indiana,93,25,22,31,1,2,1,1,75,42,82.0,42.0,13.0,3.0,6.0,0,9,17,42,59,67.0,2.0,0.0,3.0,0.0,0.0,5.0,74.0,14.0,0.0,,,,,
Iowa,87,21,23,27,1,3,1,2,58,35,68.0,36.0,9.0,7.0,3.0,3,10,20,24,76,66.0,0.0,0.0,2.0,0.0,0.0,2.0,59.0,0.0,0.0,,,,,
Kansas,72,23,20,22,0,2,1,1,73,33,65.0,37.0,15.0,4.0,4.0,0,9,3,30,75,61.0,0.0,0.0,3.0,0.0,0.0,4.0,47.0,13.0,0.0,,,,,
Kentucky,88,28,26,31,1,4,0,1,70,40,85.0,50.0,13.0,4.0,4.0,0,15,25,27,44,89.0,1.0,1.0,2.0,0.0,0.0,7.0,100.0,19.0,0.0,,,,,
Louisiana,86,28,21,27,1,4,2,2,81,36,64.0,39.0,19.0,4.0,5.0,0,9,5,23,68,64.0,1.0,2.0,3.0,0.0,0.0,8.0,84.0,8.0,0.0,,,,,
Maine,91,22,23,32,0,1,1,2,63,0,79.0,29.0,14.0,2.0,0.0,0,7,22,23,86,,,,,,,,,,,,,,,
Maryland,94,23,22,25,1,3,1,1,58,33,76.0,35.0,14.0,5.0,7.0,0,4,14,23,60,74.0,0.0,0.0,2.0,0.0,0.0,8.0,55.0,17.0,0.0,35.0,0.0,0.0,0.0,0.0
Massachusetts,88,17,20,23,1,2,1,2,59,36,59.0,31.0,10.0,5.0,4.0,0,7,15,36,52,54.0,0.0,0.0,2.0,0.0,0.0,4.0,45.0,19.0,0.0,,,,,
Michigan,80,24,21,26,1,2,1,1,65,33,72.0,36.0,11.0,5.0,3.0,0,8,16,23,43,54.0,0.0,0.0,1.0,0.0,0.0,6.0,54.0,17.0,0.0,,,,,
Minnesota,87,20,23,26,1,2,0,1,66,40,89.0,34.0,17.0,5.0,7.0,1,14,26,19,71,71.0,0.0,0.0,1.0,0.0,0.0,3.0,51.0,12.0,0.0,,,,,
Mississippi,98,30,26,25,1,2,1,3,73,43,92.0,38.0,17.0,8.0,8.0,0,0,23,28,29,100.0,1.0,0.0,0.0,0.0,,,,,,,,,,
Missouri,88,26,21,28,1,3,1,2,77,39,94.0,41.0,12.0,4.0,5.0,0,13,15,25,64,71.0,0.0,0.0,2.0,0.0,0.0,11.0,85.0,14.0,0.0,,,,,
Montana,91,18,18,30,0,2,1,0,90,0,74.0,33.0,6.0,4.0,5.0,0,0,22,46,84,,,,,,,,,,,,,,,
Nebraska,81,20,20,26,1,1,1,1,66,34,71.0,32.0,8.0,4.0,4.0,0,4,9,28,34,,,,,,0.0,6.0,60.0,0.0,0.0,,,,,
Nevada,84,22,17,24,1,1,1,1,81,30,79.0,30.0,12.0,2.0,1.0,0,3,21,36,38,50.0,1.0,1.0,2.0,0.0,0.0,2.0,60.0,0.0,0.0,,,,,
New Hampshire,83,21,20,24,1,2,1,2,71,33,78.0,41.0,15.0,4.0,5.0,0,7,27,0,50,,,,,,,,,,,,,,,
New Jersey,88,21,19,24,1,2,1,2,56,33,64.0,28.0,12.0,3.0,3.0,0,6,16,27,47,58.0,1.0,0.0,2.0,0.0,25.0,3.0,54.0,14.0,0.0,0.0,0.0,44.0,0.0,0.0
New Mexico,100,21,19,22,1,4,1,2,79,37,72.0,34.0,12.0,7.0,7.0,0,5,11,12,78,,,,,,,,,,,,,,,
New York,80,19,19,22,1,2,1,1,55,31,71.0,29.0,11.0,4.0,3.0,1,6,14,25,54,55.0,0.0,0.0,2.0,0.0,15.0,3.0,42.0,17.0,0.0,,,,,
North Carolina,82,24,20,24,1,3,2,1,64,33,70.0,31.0,14.0,3.0,5.0,1,6,14,29,42,56.0,1.0,0.0,2.0,0.0,0.0,8.0,60.0,11.0,0.0,0.0,0.0,40.0,0.0,0.0
North Dakota,97,25,22,25,0,0,1,1,62,0,,,,,,0,0,0,57,15,,,,,,,,,,,,,,,
Ohio,89,25,23,28,1,2,2,1,67,44,85.0,42.0,10.0,5.0,5.0,2,7,10,29,64,57.0,1.0,0.0,3.0,0.0,18.0,4.0,70.0,16.0,0.0,,,,,
Oklahoma,91,27,24,27,1,4,1,1,90,40,94.0,35.0,15.0,4.0,5.0,0,6,0,31,42,74.0,1.0,0.0,1.0,0.0,0.0,10.0,76.0,0.0,0.0,,,,,
Oregon,86,20,20,22,0,1,1,1,80,30,77.0,35.0,13.0,4.0,5.0,0,2,15,42,52,80.0,1.0,0.0,1.0,0.0,0.0,1.0,51.0,13.0,0.0,,,,,
Pennsylvania,90,23,23,27,1,2,1,2,62,37,73.0,37.0,12.0,4.0,6.0,1,5,13,31,57,61.0,1.0,0.0,2.0,0.0,18.0,4.0,59.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0
Rhode Island,90,19,21,25,0,3,1,1,65,41,62.0,36.0,9.0,5.0,2.0,0,15,16,16,76,,,,,,,,,,,,,,,
South Carolina,80,24,20,23,1,3,1,1,65,34,70.0,32.0,12.0,3.0,4.0,0,6,25,31,78,67.0,1.0,0.0,1.0,0.0,0.0,1.0,49.0,23.0,0.0,,,,,
South Dakota,91,21,26,34,2,3,0,3,70,0,,,,,,0,0,13,42,71,,,,,,,,,,,,,,,
Tennessee,90,27,22,27,1,3,2,3,71,36,74.0,33.0,15.0,4.0,5.0,0,8,12,27,73,64.0,0.0,0.0,2.0,0.0,11.0,11.0,92.0,13.0,0.0,,,,,
Texas,83,23,18,21,1,2,1,1,72,30,71.0,32.0,13.0,4.0,4.0,1,7,14,33,47,53.0,1.0,0.0,1.0,0.0,16.0,3.0,61.0,16.0,0.0,,,,,
Utah,94,20,18,26,1,1,2,1,94,43,68.0,39.0,14.0,4.0,3.0,3,12,9,31,39,71.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,16.0,0.0,,,,,
Vermont,73,18,22,22,1,3,0,0,82,0,,,,,,0,0,29,0,16,,,,,,,,,,,,,,,
Virginia,86,23,21,23,1,2,1,2,69,31,70.0,34.0,12.0,4.0,3.0,0,8,17,37,88,58.0,0.0,0.0,3.0,0.0,0.0,3.0,64.0,13.0,0.0,0.0,0.0,0.0,24.0,0.0
Washington,79,22,21,24,0,2,1,1,88,36,69.0,34.0,11.0,4.0,3.0,0,4,20,52,49,61.0,0.0,0.0,2.0,0.0,0.0,3.0,56.0,16.0,0.0,,,,,
West Virginia,95,39,25,40,1,2,0,2,72,54,100.0,40.0,15.0,5.0,8.0,0,7,7,23,48,,,,,,,,,,,,,,,
Wisconsin,78,19,23,23,1,2,1,1,75,43,63.0,31.0,12.0,4.0,6.0,2,5,12,22,55,66.0,0.0,0.0,3.0,0.0,0.0,6.0,66.0,15.0,0.0,,,,,
Wyoming,75,19,21,28,0,4,0,2,85,0,,,,,,0,0,20,43,88,,,,,,,,,,,,,,,
